"state","city"
"Alabama","Alabaster"
"Alabama","Anniston"
"Alabama","Huntsville"
"Alabama","Decatur"
"Alabama","Mobile"
"Alabama","Madison"
"Alabama","Montgomery"
"Alabama","Dothan"
"Alabama","Cullman"
"Alabama","Tuscaloosa"
"Alabama","Gadsden"
"Alabama","Fairhope"
"Alabama","Section"
"Alabama","Phenix City"
"Alabama","Gulf Shores"
"Alabama","Birmingham"
"Alabama","Spanish Fort"
"Alabama","Opelika"
"Alabama","Jasper"
"Alabama","Florence"
"Alabama","Guntersville"
"Alabama","Trussville"
"Alaska","Haines"
"Alaska","Palmer"
"Alaska","Gakona"
"Alaska","Fox"
"Alaska","Homer"
"Alaska","Skagway"
"Alaska","Sitka"
"Alaska","Fairbanks"
"Alaska","Talkeetna"
"Alaska","Wasilla"
"Alaska","Kodiak"
"Alaska","Anchorage"
"Alaska","Ketchikan"
"Alaska","Girdwood"
"Alaska","Kenai"
"Alaska","Cooper Landing"
"Alaska","Healy"
"Alaska","Nenana"
"Alaska","Valdez"
"Alaska","Seward"
"Alaska","Juneau"
"Alaska","Soldotna"
"Alaska","Hoonah"
"Alaska","Eagle River"
"Arizona","Camp Verde"
"Arizona","Mesa"
"Arizona","Prescott Valley"
"Arizona","Marana"
"Arizona","Yuma"
"Arizona","Kingman"
"Arizona","Skull Valley"
"Arizona","Queen Creek"
"Arizona","Sonoita"
"Arizona","Chandler"
"Arizona","Sierra Vista"
"Arizona","Lake Havasu City"
"Arizona","Prescott"
"Arizona","Lakeside"
"Arizona","Scottsdale"
"Arizona","Show Low"
"Arizona","Phoenix"
"Arizona","Surprise"
"Arizona","Cottonwood"
"Arizona","Tombstone"
"Arizona","Pine"
"Arizona","Gilbert"
"Arizona","Flagstaff"
"Arizona","Peoria"
"Arizona","Williams"
"Arizona","Colorado City"
"Arizona","Chino Valley"
"Arizona","Tempe"
"Arizona","Glendale"
"Arizona","Sedona"
"Arizona","Bisbee"
"Arizona","Elgin"
"Arizona","Tucson"
"Arizona","Goodyear"
"Arizona","Avondale"
"Arkansas","Hot Springs National Park"
"Arkansas","Paragould"
"Arkansas","Big Flat"
"Arkansas","Fort Smith"
"Arkansas","Hot Springs "
"Arkansas","fayetteville"
"Arkansas","rogers"
"Arkansas","Paris"
"Arkansas","Norfork"
"Arkansas","Little Rock"
"Arkansas","North Little Rock"
"Arkansas","Eureka Springs"
"Arkansas","Harrison"
"Arkansas","Lowell"
"Arkansas","Bentonville"
"Arkansas","Mountain Home"
"Arkansas","Rogers"
"Arkansas","Fayetteville"
"Arkansas","Springdale"
"Arkansas","Bonnerdale"
"Arkansas","Amity"
"California","Whitethorn"
"California","Fort Bragg"
"California","Los Banos"
"California","Coronado"
"California","Norco"
"California","Chatsworth"
"California","Visalia"
"California","Julian"
"California","Pasadena"
"California","West Sacramento"
"California","Escondido"
"California","Grover Beach"
"California","La Jolla"
"California","Petaluma"
"California","Elk Grove"
"California","Fortuna"
"California","Jamul"
"California","Chino"
"California","Marina del Rey"
"California","Mariposa"
"California","Cotati"
"California","West Covina"
"California","Santa Monica"
"California","Monrovia"
"California","Eureka"
"California","Idyllwild"
"California","Magalia"
"California","Oakland"
"California","Santa Barbara"
"California","del Mar"
"California","Oceanside"
"California","Garden Valley"
"California","Hollister"
"California","San Fernando"
"California","Santa Rosa"
"California","Sacramento"
"California","Oakdale"
"California","Valencia"
"California","Thousand Oaks"
"California","Santee"
"California","Windsor"
"California","Santa Margarita"
"California","Rancho Cucamonga"
"California","Oroville"
"California","Westlake Village"
"California","Pleasanton"
"California","Pacifica"
"California","Lakeport"
"California","Morro Bay"
"California","Kelseyville"
"California","Plymouth"
"California","Mill Valley"
"California","La Mirada"
"California","Apple Valley"
"California","Sacramento "
"California","Soquel"
"California","Suisun City"
"California","San Jose"
"California","Brea"
