"state","city","brewery_count"
"Colorado","Denver",93
"California","San Diego",91
"Oregon","Portland",86
"Washington","Seattle",73
"Illinois","Chicago",65
"Texas","Austin",54
"California","San Francisco",39
"Minnesota","Minneapolis",38
"Ohio","Cincinnati",35
"Indiana","Indianapolis",34
"Texas","Houston",33
"New Mexico","Albuquerque",32
"North Carolina","Charlotte",31
"Ohio","Columbus",30
"Wisconsin","Milwaukee",30
"New York","Brooklyn",29
"Ohio","Cleveland",29
"Colorado","Colorado Springs",28
"Colorado","Boulder",27
"North Carolina","Asheville",27
"Pennsylvania","Pittsburgh",26
"Michigan","Grand Rapids",25
"Oregon","Bend",25
"Pennsylvania","Philadelphia",25
"California","Los Angeles",24
"Colorado","Fort Collins",24
"Missouri","Saint Louis",24
"Minnesota","Saint Paul",23
"North Carolina","Raleigh",23
"Tennessee","Nashville",23
"Virginia","Richmond",23
"Washington","Spokane",23
"Georgia","Atlanta",22
"Kentucky","Louisville",21
"Tennessee","Knoxville",21
"Texas","Dallas",21
"California","Sacramento",20
"Florida","Tampa",20
"Maryland","Baltimore",20
"Missouri","Kansas City",20
"Arizona","Tucson",19
"Nevada","Reno",19
"Utah","Salt Lake City",19
"Washington","Tacoma",19
"Arizona","Phoenix",18
"District of Columbia","Washington",18
"Maine","Portland",18
"California","Anaheim",17
"Oregon","Eugene",17
"Washington","Vancouver",17
"California","Oakland",16
"California","Vista",16
"Florida","Jacksonville",16
"Florida","Miami",16
"New York","Buffalo",16
"North Carolina","Wilmington",16
"South Carolina","Charleston",16
"Texas","San Antonio",16
"California","San Jose",15
"California","Santa Rosa",15
"Idaho","Boise",15
"Nevada","Las Vegas",15
"Wisconsin","Madison",15
"Florida","Orlando",14
"Michigan","Kalamazoo",14
"New York","New York",14
"Oklahoma","Oklahoma City",14
"Colorado","Longmont",13
"Florida","Saint Petersburg",13
"Louisiana","New Orleans",13
"Michigan","Detroit",13
"Nebraska","Omaha",13
"Texas","Fort Worth",13
"Virginia","Virginia Beach",13
"Washington","Bellingham",13
"Alaska","Anchorage",12
"California","Torrance",12
"Colorado","Golden",12
"Kentucky","Lexington",12
"Michigan","Traverse City",12
"Nebraska","Lincoln",12
"New York","Rochester",12
"Oklahoma","Tulsa",12
"Washington","Woodinville",12
"Arizona","Scottsdale",11
"California","Oceanside",11
"Colorado","Aurora",11
"Kansas","Wichita",11
"Massachusetts","Boston",11
"Michigan","Ann Arbor",11
"Michigan","Holland",11
"New Mexico","Santa Fe",11
"Ohio","Akron",11
"Tennessee","Chattanooga",11
"Arkansas","Little Rock",10
"California","Carlsbad",10
"California","Long Beach",10
"California","Napa",10
"California","Riverside",10
"California","San Luis Obispo",10
"California","Santa Cruz",10
"Colorado","Loveland",10
"Montana","Bozeman",10
"Montana","Missoula",10
"New York","Syracuse",10
"Tennessee","Memphis",10
"Virginia","Leesburg",10
"Washington","Yakima",10
"Arizona","Flagstaff",9
"Arizona","Tempe",9
"California","Ventura",9
"Colorado","Littleton",9
"Indiana","Fort Wayne",9
"Maryland","Frederick",9
"Minnesota","Duluth",9
"New Hampshire","Portsmouth",9
"North Carolina","Durham",9
"North Carolina","Greensboro",9
"Ohio","Dayton",9
"Oregon","Corvallis",9
"Oregon","Salem",9
"Virginia","Fredericksburg",9
"Virginia","Manassas",9
"Virginia","Norfolk",9
"Alabama","Birmingham",8
"Alabama","Huntsville",8
"Arkansas","Fayetteville",8
"California","Berkeley",8
"California","Fresno",8
"Colorado","Greeley",8
"Hawaii","Honolulu",8
"Indiana","Bloomington",8
"New York","Long Island City",8
"North Carolina","Winston Salem",8
"Oregon","Medford",8
"Pennsylvania","Harrisburg",8
"South Carolina","Columbia",8
"South Carolina","Greenville",8
"Wisconsin","Green Bay",8
"California","Livermore",7
"California","San Marcos",7
"California","South Lake Tahoe",7
"California","Temecula",7
"Colorado","Arvada",7
"Colorado","Lafayette",7
"Colorado","Lakewood",7
"Florida","Dunedin",7
"Florida","Gainesville",7
"Florida","Pensacola",7
"Florida","Tallahassee",7
"Iowa","Cedar Rapids",7
"Montana","Billings",7
"Nevada","Henderson",7
"Pennsylvania","Erie",7
"Vermont","Burlington",7
"Virginia","Charlottesville",7
"Virginia","Purcellville",7
"Washington","Snohomish",7
"Arizona","Chandler",6
"California","Auburn",6
"California","Paso Robles",6
"California","Rancho Cucamonga",6
"California","Santa Barbara",6
"Colorado","Centennial",6
"Colorado","Durango",6
"Colorado","Westminster",6
"Delaware","Rehoboth Beach",6
"Florida","Bradenton",6
"Florida","Clearwater",6
"Florida","Fort Lauderdale",6
"Florida","Fort Myers",6
"Florida","Naples",6
"Florida","Sarasota",6
"Georgia","Savannah",6
"Missouri","Springfield",6
"Montana","Helena",6
"New Hampshire","Manchester",6
"New Mexico","Las Cruces",6
"New York","Canandaigua",6
"New York","Geneva",6
"New York","New Paltz",6
"New York","Riverhead",6
"Oregon","Astoria",6
"Oregon","Redmond",6
"Oregon","Roseburg",6
"Texas","Corpus Christi",6
"Virginia","Ashburn",6
"Virginia","Williamsburg",6
"Washington","Bremerton",6
"Washington","Everett",6
"Washington","Olympia",6
"Washington","Richland",6
"Wisconsin","La Crosse",6
"Arizona","Gilbert",5
"Arizona","Mesa",5
"Arizona","Prescott",5
"Arkansas","Rogers",5
"California","Burbank",5
"California","Clovis",5
"California","Corona",5
"California","Elk Grove",5
"California","Escondido",5
"California","Fairfield",5
"California","Huntington Beach",5
"California","Murrieta",5
"California","Santa Ana",5
"Colorado","Broomfield",5
"Colorado","Castle Rock",5
"Delaware","Wilmington",5
"Florida","Pompano Beach",5
"Florida","Sanford",5
"Georgia","Athens",5
"Georgia","Marietta",5
"Indiana","Carmel",5
"Iowa","Des Moines",5
"Kansas","Lawrence",5
"Maine","Bangor",5
"Massachusetts","Easthampton",5
"Massachusetts","Worcester",5
"Michigan","Grand Haven",5
"Michigan","Howell",5
"Michigan","Jackson",5
"Michigan","Marquette",5
"Michigan","Royal Oak",5
"Minnesota","Rochester",5
"Montana","Kalispell",5
"New York","Farmingdale",5
"New York","Poughkeepsie",5
"North Carolina","Concord",5
"North Carolina","Fayetteville",5
"North Carolina","Fuquay Varina",5
"Ohio","Cuyahoga Falls",5
"Ohio","Toledo",5
"Oregon","Beaverton",5
"Oregon","Grants Pass",5
"Oregon","Hillsboro",5
"Oregon","Hood River",5
"Oregon","McMinnville",5
"Pennsylvania","Lancaster",5
"Pennsylvania","Phoenixville",5
"Pennsylvania","Williamsport",5
"Pennsylvania","York",5
