,brewery_name,brewery_url,brewery_phone,brewery_coordinates,list_order
0,(512) Brewing Company,http://www.512brewing.com/,,"-97.77002449999999,30.222487",
1,11 Below Brewing Company,,2814408456,"-95.5317711,29.9787659",
2,3 Nations Brewing,http://www.3nationsbrewing.com/,2146425055,"-96.7511123,33.0417584",
3,4 C Brewers LLC,http://www.4cbrewbarn.com/,8325194042,"-96.80847299999999,30.809686",
4,4J Brewing Company,http://4jbrewingcompany.com/,7136780776,"-95.52410499999999,29.7947338",
5,4th Tap Brewing Cooperative,http://4thtap.coop/,512-904-9817,"-97.71184269999999,30.3851084",
6,Acopon Brewing Company,http://www.acoponbrewing.com/,,"-98.0891079,30.1925459",
7,Alamo Beer Company,http://www.alamobeer.com/,,"-98.47728269999999,29.4294655",
8,Altstadt Brewery,http://www.altstadtbeer.com/,,"-98.7969512,30.22617339999999",
9,AQUABREW,http://www.aqua-brew.com/,6233377083,"-97.9415198,29.88023",
10,Armadillo Ale Works,http://www.armadilloaleworks.com/,94707831536,"-97.12809329999999,33.2126294",
11,Astral Brewing,http://www.astralbrewing.com/,,"-95.41023609999999,29.8354305",
12,Austin Beerworks,http://austinbeerworks.com/,512-821-2494,"-97.7302129,30.379681",
13,B&J's Pizza Brewpub,https://bandjspizza.com/,,"-97.3865639,27.6795494",
14,B-52 Brewing,http://www.b52brewing.com/,7135609653,"-95.5509409,30.3406766",
15,Baa Baa Brewhouse,http://www.baabaabrewhouse.com/,5625521481,"-95.76812749999999,29.7082063",
16,Back Unturned Brewing Co.,https://www.backunturned.com/,,"-98.4845252,29.4330983",
17,BackStory Brewery,,,"-95.6047727,33.1347925",
18,Baileson Brewing Company,,5127360389,"-95.4526984,29.7324394",
19,BAKFISH Brewing Company,http://www.bakfishbrewing.com/,,"-95.22246709999999,29.5434447",
20,Balcones Distilling,http://www.balconesdistilling.com/,,"-97.135714,31.550254",
21,Bankhead Brewing Co.,http://bankheadbrewing.com/,,"-96.56553590000001,32.9026403,-97.3609826,32.7523518",
22,Bare Arms Brewing,http://barearmsbrewing.com/,,"-97.13098060000002,31.5250697",
23,Barking Armadillo Brewing,,,"-97.69106,30.6608114",
24,Barrelman Brewing Company,http://www.barrelmanbeer.com/,6199483895,"-98.75457019999999,29.8023533",
25,Batch Craft Beer and Kolaches,http://batchatx.com/,5127741360,"-97.7031683,30.2872007",
26,Bearded Fox Brewing Company,http://www.beardedfoxbrewing.com/,,"-95.6030076,30.0122434",
27,Beerburg Brewing Company,http://beerburgbrewing.com/,,"-98.0046711,30.2343389",
28,Bell Springs Brewing Co.,http://www.bellspringsbrewing.com/,,"-98.12586879999999,30.2389708",
29,"BJ's Restaurants, Inc.",http://bjsrestaurants.com/,,"-97.3346936,31.0950793",
30,Black Laboratory Brewing,http://www.blacklaboratorybrewing.com/,,"-98.4730829,29.42484929999999",
31,Black Star Co-op Pub and Brewery,http://www.blackstar.coop/,,"-97.71877529999999,30.3384951",
32,Blackwater Draw Brewing Co,http://www.blackwaterbrew.com/,9797777084,"-96.3722653,30.6795332",
33,Blue Owl Brewing,http://www.blueowlbrewing.com/,,"-97.71773929999999,30.2549674",
34,Blue Star Brewing Company,http://www.bluestarbrewing.com/,,"-98.49547869999999,29.4099534",
35,Bluebonnet Beer Company,http://bluebonnetbeerco.com/,5127744258,"-97.64697009999999,30.4916374",
36,Bold Republic Brewing Company,http://boldrepublicbrewing.com/,2548313110,"-97.46165339999999,31.0574473",
37,Brick Vault Brewery and BBQ,http://gagehotel.com/,4323860166,"-103.2448594,30.2065632",
38,Brigadoon Brewery & Brew School LLC,http://www.brigadoonbrewery.com/,,"-95.17064780000001,29.64833609999999",
39,Brotherwell Brewing,http://www.brotherwell.com/,,"-97.1242867,31.56445889999999",
40,Buckstin Brewing Company,,,"-93.99108,29.975429",
41,Cactus Land Brewing Company,http://www.cactuslandbrewing.com/,2104142776,"-98.254299,29.289599",
42,Celestial Beerworks,http://www.celestialbeerworks.com/,,"-96.8330721,32.820018",
43,Celis Brewery,,,"-97.7159575,30.3798084,-97.7159575,30.3798084",
44,Central District Brewing,http://centraldistrictbrewing.com/,,"-97.7221996,30.2616427",
45,Central Machine Works,http://cmwbrewery.com/,,"-97.7015778,30.2520225",
46,Chambers Creek Brewing Company,http://www.chamberscreekbrewing.com/,469-662-6900,"-97.0149292,32.3114105",
47,Cibolo Creek Brewing,http://www.cibolocreekbrewing.com/,2549791988,"-98.7300712,29.7900919,-98.7301572,29.7900414,-98.7301572,29.7900414,-98.7301572,29.7900414",
48,Circle Brewing Co.,http://www.circlebrewing.com/,,"-97.7154485,30.3912943",
49,City Orchard,http://cityorchardhtx.com/,7134125120,"-95.3868914,29.7708317,-95.38689839999999,29.7708798",
50,Cowtown Brewing Company,http://www.cowtownbrewco.com/,,"-97.32444249999999,32.7623888,-97.32444249999999,32.7623888,-97.32444249999999,32.7623888,-97.32444249999999,32.7623888",
51,Craft And Growler,http://www.craftandgrowler.com/,,"-96.7668581,32.7814852",
52,Deadbeach Brewery,http://deadbeach.com/,,"-106.4924589,31.7553736",
53,"DECA Beer Company, Inc.",,,"-95.2390259,30.0780245",
54,Deep Ellum Brewing Company,https://www.deepellumbrewing.com/,,"-96.7817379,32.7807511",
55,Denton County Brewing Company,,,"-97.13118449999999,33.2162125",
56,Devil and the Deep Brewery,http://www.devilandthedeep.com/,,"-94.7954491,29.30367639999999",
57,Division Brewing,http://www.divisionbrewing.com/,2146978350,"-97.1539123,32.74931480000001",
58,Dodging Duck Brewhaus,http://www.dodgingduck.com/beer.html,,"-98.72594219999999,29.789782",
59,Dorcol Distilling and Brewing,http://www.dorcolspirits.com/,,"-98.5030929,29.4134586",
60,Dos Sirenos Brewing,http://www.dossirenosbrewing.com/,2104428138,"-98.4983745,29.40854169999999",
61,Edgewise Eight Brewing,http://edgewiseeight.com/,8175975750,"-97.7977743,32.761395",
62,Eureka Heights Brew Co,,,"-95.4164299,29.8019576",
63,"Excalibur Brewing, Llc",https://www.excaliburbrewing.com/,713-392-6294,"-95.4215086,30.0797977,-95.6400855,30.2072376,-95.40135869999999,30.142636",
64,False Idol Brewing,http://falseidolbrew.com/,,"-97.20982339999999,32.8382958",
65,Family Business Beer Company,http://www.familybusinessbeer.com/,,"-98.077812,30.292163",
66,Fire Base Brewing Company,http://www.firebasebrewing.com/,,"-97.34257699999999,31.096687",
67,Fitzhugh Brewing,,,"-98.03418789999999,30.2452639",
68,Fort Brewery & Pizza,http://www.fortbrewery.com/,,"-97.3561399,32.7600466",
69,Fortress BeerWorks,,,"-95.458574,30.0674007",
70,Four Bullets Brewery,http://www.fourbulletsbrewery.com/,,"-96.7260584,32.9592249",
71,Frankenboltzzzz Brewing Co.,http://fbbrewco.com/,9364198315,"-95.77746669999999,30.3660031",
72,Fredericksburg Brewing Company,http://www.yourbrewery.com/index.html,830-997-1646,"-98.86957629999999,30.272666",
73,Fredonia Brewery,http://www.fredoniabrewery.com/,936 645 0745,"-94.651833,31.6034762,-94.651833,31.6034762,-94.651833,31.6034762",
74,Freetail Brewing Company Taproom,http://www.freetailbrewing.com/,,"-98.4822744,29.4016256,-98.56132880000001,29.6015959",
75,Friends and Allies Brewing Company,http://www.friendsandallies.beer/,,"-97.6959036,30.2634656",
76,Frontyard Brewing,http://www.frontyardbrewing.com/,8503227498,"-98.0565554,30.3585367",
77,Fulbrook Ale Works,http://fbombbrew.com/,8324052327,"-95.74376430000001,29.6119085",
78,Funky Picnic Brewery & Café,http://www.funkypicnicbrewery.com/,,"-97.21799349999999,32.6733693",
79,Galveston Bay Beer Company,http://www.galvestonbaybeer.com/,7138064835,"-95.0077232,29.4837165",
80,Galveston Island Brewing,http://www.galvestonislandbrewing.com/,5129449066,"-94.8491549,29.2556385",
81,Ghost Note Brewing,https://www.ghostnotebrewing.com/,,"-98.09121809999999,30.1264276",
82,Grain Theory,http://graintheory.beer/,3255136628,"-99.73332669999999,32.4506716,-99.73332669999999,32.4506716,-99.73332669999999,32.4506716,-99.73332669999999,32.4506716",
83,Great Heights Brewing Company,http://www.greatheightsbrewing.com/,,"-95.42228569999999,29.821852",
84,Happy Hippie Brewing Company,http://happyhippiebeer.com/,,"-96.76539679999999,32.9458271",
85,Hedgehog Brewing,http://www.hedgehogatx.com/,,"-97.87709210000001,30.5149797",
86,Hell Or High Water Brewing,http://www.hellorhighwaterbrewing.com/,5129636701,"-97.9224632,30.6639383",
87,Hemisphere Brewing Company,http://www.hemispherebrewing.com/,,"-96.4404795,32.9127375",
88,Hi Sign Brewing,http://www.hisignbrewing.com/,,"-97.68026809999999,30.22641639999999",
