,brewery_name,address,brewery_page_url,list_order,page_num
0,(512) Brewing Company,"407 Radam Lane, Bldg. F200 Austin TX 78745, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967c8,,1
1,11 Below Brewing Company,"6519 Walton Heath Drive Houston TX 77069, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de9496773,,1
2,3 Nations Brewing,"PO BOX 861498 Plano TX 75023, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c06215737069,,1
3,4 C Brewers LLC,"8778 FM 2095 Gause TX 77857, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60bce8b25e9a894e4151f141,,1
4,4J Brewing Company,"1348 CEDAR POST LANE Houston TX 77055, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fc685044dc29e058b5b1ef0,,1
5,4th Tap Brewing Cooperative,"10615 Metric Blvd. Austin TX 78758, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496794,,1
6,Acopon Brewing Company,"211 W Mercer St Dripping Springs TX 78620, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de949679b,,1
7,Alamo Beer Company,"415 Burnet San Antonio TX 78202, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496791,,1
8,Altstadt Brewery,"6120 Us Hwy 290 East Fredericksburg TX 78624, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de949679c,,1
9,AQUABREW,"110 E MLK DR SUITE 130 San Marcos TX 78666, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de9496781,,1
10,Armadillo Ale Works,"221 S Bell Ave Denton TX 76201, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fd7891a7827ef740d49a655,,1
11,Astral Brewing,"4816 N Shepherd Dr, Suite A Houston TX 77018, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de949679d,,1
12,Austin Beerworks,"3009 Industrial Terrace Austin TX 78758, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de949679e,,1
13,B&J's Pizza Brewpub,6662 South Staples Corpus Christi Texas 78413,https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de9496771,,1
14,B-52 Brewing,"12470 Milroy Lane Conroe TX 77304, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60a42a27a3a88134440443a3,,1
15,Baa Baa Brewhouse,"6110 GRAND GLEN CT Katy TX 77494, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c0621573706f,,1
16,Back Unturned Brewing Co.,"516 Brooklyn Ave San Antonio TX 78215, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949681a,,1
17,BackStory Brewery,"211 Magnolia St Sulphur Springs TX 75482, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967f4,,1
18,Baileson Brewing Company,"4607 Richmond ave Houston TX 77027, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de9496774,,1
19,BAKFISH Brewing Company,"1231 Broadway Pearland TX 77581, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de949677c,,1
20,Balcones Distilling,"225 S. 11th St. Waco TX 76701, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496829,,1
21,Bankhead Brewing Co.,"3840 Main St. Rowlett TX 75088, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967d6,,1
22,Bare Arms Brewing,"2515 Lasalle Ave Waco TX 76706, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967c5,,1
23,Barking Armadillo Brewing,"507 River Bend Georgetown TX 78628, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967f0,,1
24,Barrelman Brewing Company,"103 Ranger Dr. Ste A Boerne TX 78006, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60482659c0caa52e687eac7e,,1
25,Batch Craft Beer and Kolaches,"3220 Manor Rd Austin TX 78723, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/6142773a991c261e74097571,,1
26,Bearded Fox Brewing Company,"11729 Spring Cypress Road, Suite R Tomball TX 77377, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967cd,,1
27,Beerburg Brewing Company,"13476 Fitzhugh Rd Austin TX 78736, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949682f,,1
28,Bell Springs Brewing Co.,"3700 Bell Springs Road Dripping Springs TX 78620, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9445a0c06215737080,,1
29,"BJ's Restaurants, Inc.","602 E Central Avenue Temple TX 76501, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c0621573706d,,1
30,Black Laboratory Brewing,"1602 E. Houston St Suite 109 San Antonio TX 78202, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967e6,,1
31,Black Star Co-op Pub and Brewery,"7020 Easy Wind Drive, Suite 100 Austin TX 78752, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de94967a0,,1
32,Blackwater Draw Brewing Co,"701 N Main St Bryan TX 77803, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60f83b6a78f0f32506515d60,,1
33,Blue Owl Brewing,"2400 E Cesar Chavez Ste 300 Austin TX 78702, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967bd,,1
34,Blue Star Brewing Company,"1414 S Alamo St San Antonio TX 78210, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de9496770,,1
35,Bluebonnet Beer Company,"1700 Bryant Drive, Suite 107 Round Rock TX 78664, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de949678b,,1
